id,hour,rideType,price,distance,temp,precip,atDark
1eb45507-0266-4796-b5ff-8bd12557392f,4,lyft,9,1.34,34.81,0,FALSE
52bb146e-e3fd-408a-a4e5-970940c8821b,16,lyft_premier,22.5,2.64,38,0,TRUE
2d723448-f37a-43d0-a552-a987e14e53a9,17,lyft_plus,9,0.49,20.93,0,TRUE
e5b68962-ca60-4729-a671-d2fb33c20f3c,8,lyft_luxsuv,27.5,1.77,38.92,1,TRUE
4d4e7b16-2edc-4af4-93cd-c761f6e3126c,15,lyft_lux,22.5,2.4,35.9,0,TRUE
5ed6d03e-1445-4958-85fd-0a1b72e9428a,3,lyft_premier,16.5,2.39,18.26,0,FALSE
058605d4-4313-4998-9044-86f989f5c2d8,9,lyft,7,1.27,37.12,0,TRUE
663ea745-57c7-4975-a78d-330363893d23,14,lyft_premier,13.5,0.87,34.01,0,TRUE
8db7a344-0223-4939-a636-75e140f6a043,15,lyft_premier,16.5,2.43,35.9,0,TRUE
5a298b64-bf01-48e7-9320-faf2ee53c4f3,0,lyft_lux,26,2.92,40.8,0,FALSE
76cb3ecd-c046-4908-bac3-65bbdc37b536,23,lyft,7,0.75,35.98,0,FALSE
